name,smiles,mult
H,[H],2
OH,[OH],2
OOH,O[O],2
CH3,[CH3],2
O,[O],3
C2H4,C=C,1
C2H5,C[CH2],2
C2H4OH,OC[CH2],2
C2H4OOH,OOC[CH2],2
C3H7,CC[CH2],2
CH2CH2O,C1OC1,1
C2H2,C#C,1
C2H3,C=[CH],2
C2H2OH,OC=[CH],2
C2H2OOH,OOC=[CH],2
CHCHCH3,CC=[CH],2
CHCHO,[CH]=C[O],3
OCHOH,OC=O,1
OCH2OH,OC[O],2
OCH(OH)2,OC(O)[O],2
CH3CH(O)OH,CC([O])O,2
OCH(O)OH,OC([O])[O],3
CH(OH)2,O[CH]O,2
OHOCHOH,OO[CH]O,2
OHOOCHOH,OOO[CH]O,2
CH3OCHOH,CO[CH]O,2
OOCHOH,O[CH]O[O],3
H2CO,C=O,1
CH3O,C[O],2
OHCH2O,OC[O],2
OCH2OOH,OOC[O],2
OCH2CH3,CC[O],2
OCH2O,[O]C[O],3
CH2OH,[CH2]O,2
CH2OOH,[CH2]OO,2
CH2OOOH,[CH2]OOO,1
CH2OCH3,CO[CH2],2
CH2OO,[CH2]O[O],1
OCH(OOH)OH,OOC(O)[O],2
