name_,smiles,mult
Ne,[Ne],1
methane(1),C,1
ethane(2),CC,1
propane(3),CCC,1
O2(4),[O][O],3
CH3OH(5),CO,1
CH(6),[CH],2
CH2(T)(7),[CH2],3
CH2(S)(8),[CH2],1
HO2(16),[O]O,2
C3H7(38),C[CH]C,2
CH3(22),[CH3],2
C2H5(33),C[CH2],2
CH3O2(47),CO[O],2
H(9),[H],2
C3H7O2(45),CC(C)O[O],2
C2H5O2(56),CCO[O],2
C2H4(32),C=C,1
C2H4(50),[CH]C,1
C3H6(43),C=CC,1
H2(12),[H][H],1
H2O2(17),OO,1
CH3O2H(54),COO,1
OH(11),[OH],2
O(10),[O],3
H2O(13),O,1
C3H7(39),[CH2]CC,2
CH3O(29),C[O],2
C3H7O2(82),CCCO[O],2
CH2OH(34),[CH2]O,2
CH2O2(42),[CH2]O[O],3
C1OO1(152),C1OO1,1
CH2O2(173),[O]C[O],3
CH2O(23),C=O,1
S(124),[CH2]CCOO,2
CHO2(177),[O]C=O,2
CO2(19),O=C=O,1
HCO(20),[CH]=O,2
CHO3(250),[O]OC=O,2
CO(18),[C-]#[O+],1
S(221),[O]OCCCOO,2
C3H6O(200),CC1CO1,1
C3H6(93),C[C]C,1
C2H3(31),[CH]=C,2
S(458),C=CO[O],2
CH2CHO(36),[CH2]C=O,2
S(431),[O]CCCO[O],3
S(496),[O]CCC=O,2
S(495),[CH2]OCC=O,2
C2H4O2(72),[CH2]CO[O],3
S(570),[O][CH]CCC=O,3
S(383),[O]OCC=O,2
O2(S)(579),O=O,1
S(564),[CH2]C([O])CC=O,3
CH3CO(35),C[C]=O,2
S(563),[CH2][CH]OCC=O,3
C2H5O(113),[CH2]CO,2
S(168),[O]OCCO,2
C2H6O2(58),CCOO,1
C2H5O(73),CC[O],2
C3H6(79),[CH2]C[CH2],3
CH2CO(30),C=C=O,1
S(684),C=C([O])CC=O,2
S(645),[CH2]C(=O)O[O],3
OCCOO(604),OCCOO,1
S(682),C=[C]OCC=O,2
S(296),CC1OC1=O,1
S(211),[O]CCO,2
C2H4O(487),C=CO,1
S(722),O=C1COO1,1
S(318),[O]CC([O])=O,3
S(511),[O]C(=O)CC=O,2
CH3CHO(37),CC=O,1
CH2O(119),[CH2][O],3
CHO3(310),[O]C(=O)O,2
C3H7O(115),C[CH]CO,2
S(1041),CC(CO)O[O],2
S(1060),CC([O])CC=O,2
S(1059),C[CH]OCC=O,2
S(510),O=[C]OCC=O,2
HOCO(224),O=[C]O,2
S(812),O[CH]CO,2
S(1038),C=CCO,1
C4H6O(660),C=C1OC1C,1
C2H2O(484),[CH]=C[O],3
S(1191),C1=CO1,1
S(362),O=CCO,1
CH2O3(164),[O]CO[O],3
C4H6O(661),CC1CC1=O,1
C2H2(26),C#C,1
S(1224),[O]C(CO)CC=O,2
S(1223),O=CCO[CH]CO,2
CH2O3(249),O=COO,1
C4H6(1279),CC1C=C1,1
HCCO(24),C#C[O],2
S(1123),[CH2]C=CO,2
S(1421),C=CC(O)O[O],2
S(1453),C=CC(O)C[O],2
S(1451),[O]CCC=CO,2
C3H4O(392),C=CC=O,1
S(1566),[CH2]C[C]=O,3
S(1420),[O]OCC=CO,2
C3H3O(467),C=C[C]=O,2
C4H8O(810),CC1CC1O,1
S(1303),O=C1CC1,1
S(1688),[O]CCC=C=O,2
C3H6O(118),C[CH]C[O],3
S(1037),CC=CO,1
C3H6O(331),CCC=O,1
S(1793),CC[CH]OC,2
C3H5O(382),CC[C]=O,2
S(517),O=[C]CC=O,2
S(1678),[O]OCC=C=O,2
CHO4(283),[O]C(=O)OO,2
tSPC(1286),C=CC(=O)O[O],2
S(1861),C=CC(=O)OO,1
S(1895),[CH2]C(O[O])C(=O)OO,3
tSPC(1553),C=CC([O])=O,2
S(1192),O=C[CH]O,2
S(2033),[O]CC(O)C=O,2
S(1998),[O]OC(O)C=O,2
S(2144),CC([O])C(O)C=O,2
S(366),O=CC=O,1
S(2235),[O]C(C=O)CC=O,2
S(2121),[O]C=COCC=O,2
S(2288),[O]C(C=O)C(O)C=O,2
S(2150),[O]C(CO)C(O)C=O,2
CO3t1(312),[O]C([O])=O,3
CO3(1850),O=C1OO1,1
OCHCO(428),O=[C]C=O,2
